問題番号,分野,肢,文章,正誤,簡単な解説
平成23年度第6問,不動産登記法,オ,所有権の登記がない土地について、表題部所有者ではない当該土地の実体上の所有者は、表題部所有者の承諾を証する情報を提供して、当該土地の分筆の登記を申請することができる。,×,分筆登記は表題部所有者（または所有権登記名義人）から申請しなければならず、実体上の所有者であっても表題部名義人でなければ直接申請することはできない。
平成23年度第7問,不動産登記法,ア,土地の表題登記をする場合において使用される地番は、特別の事情がない限り、当該土地に隣接するいずれかの土地の地番に支号を付して定める。,○,新たに表題登記する土地の地番は、隣接地の地番に支号を付して定めるのが原則である（不動産登記規則67条1項）。
平成23年度第7問,不動産登記法,イ,要役地についてする地役権の登記がある土地で地番に支号がないものについて分筆の登記をする場合において、当該地役権を分筆後のいずれかの土地について消滅させることを証する地役権者が作成した情報が提供され、当該土地の地役権を抹消するときは、分筆した土地について支号を用いない地番を存することができる。,×,分筆により権利関係（地役権等）が異なることになる場合は、いずれの土地についても支号を付した新たな地番を付さなければならない（不動産登記規則67条3項の例外に該当しない）。
平成23年度第7問,不動産登記法,ウ,特別の事情がある場合には、合筆した土地について、合筆前の首位の地番をもってその地番としなくとも差し支えない。,○,合筆後の地番は原則として首位の地番とするが、特別の事情がある場合はこの限りではない（不動産登記規則67条2項ただし書）。
平成23年度第7問,不動産登記法,エ,地番は、市、区、町、村、字又はこれに準ずる地域ごとに起番し、土地の位置が分かりやすいものとなるように定められる。,○,地番は、地番区域（市、区、町、村、字等）ごとに起番して定める（不動産登記規則66条）。
平成23年度第7問,不動産登記法,オ,甲土地を甲土地及び乙土地に分筆した後、錯誤により分筆の登記の申請がされたことを原因として、分筆の登記の抹消がされた場合には、抹消された乙土地の地番は、特別の事情がなくても、再使用することができる。,×,一度使用され、閉鎖または抹消された地番（乙土地の地番）は、混同を避けるため、原則として再使用することはできない（不動産登記規則68条）。
平成23年度第8問,不動産登記法,ア,抵当権の登記がある甲土地を甲土地及び乙土地に分筆し、乙土地については、抵当権を消滅させる登記を申請する場合において、当該抵当権を目的とする第三者の権利に関する登記があるときは、当該分筆の登記後の乙土地について、抵当権者が当該抵当権を消滅させることを承諾したことを証する情報のほか、当該第三者が当該抵当権を消滅させることを承諾したことを証する情報も提供しなければならない。,○,抵当権の消滅登記において、その抵当権を目的とする第三者の権利がある場合は、その第三者の承諾証明情報も必要となる。
平成23年度第8問,不動産登記法,イ,承役地についてする地役権の登記がある土地の分筆の登記又は合筆の登記を申請する場合において、地役権の設定の範囲が分筆後又は合筆後の土地の一部となるときは、申請情報には地役権の設定の範囲を記載し、地役権図面及び地役権証明書を添付しなければならない。,×,地役権図面の提供は必要だが、「地役権証明書（地役権者が作成した証明情報等）」の提供は規定されていない（分筆において存続する範囲を特定するのみ）。
平成23年度第8問,不動産登記法,ウ,永小作権又は採石権の登記がある土地は、登記の目的、申請の受付の年月日及び受付番号並びに登記原因及びその日付が同一であっても、合筆の登記を申請することはできない。,○,永小作権や採石権などの用益権は、所有権や地役権等と異なり、例外なく合筆の制限事由となる（不動産登記法41条1項2号）。
平成23年度第8問,不動産登記法,エ,抵当権の登記がある甲土地を甲土地及び乙土地に分筆する際に、乙土地について抵当権者が当該抵当権を消滅させることを承諾したことを証する情報を提供して分筆の登記がされた場合であっても、当該分筆の登記が錯誤により申請がされたときは、分筆錯誤を原因として、当該分筆の登記の抹消を申請することができる。,○,分筆に伴い一部の土地につき抵当権が消滅した場合であっても、分筆自体が錯誤であれば、その抹消登記を申請できる。
平成23年度第8問,不動産登記法,オ,所有権の移転の仮登記がある土地は、その申請の受付の年月日及び受付番号並びに登記原因及びその日付が同一である場合には、合筆の登記を申請することができる。,×,所有権の仮登記がある土地は、たとえ受付番号等が同一であっても合筆の制限事由に該当し、合筆登記を申請することはできない（法41条1項2号ただし書の例外に該当しない）。
平成23年度第9問,民法,ア,甲土地と乙土地との筆界がａ－ｂである場合において、甲土地の所有者Ａと乙土地の所有者Ｂが所有権界及び筆界をともにｃ－ｄとするとの合意をしたときは、所有権界及び筆界は、ｃ－ｄとなる。,×,当事者間の合意によって「所有権界」をｃ－ｄとすることは可能だが、公法上の境界である「筆界」を合意によって変更することはできない。
平成23年度第9問,民法,イ,甲土地と乙土地との所有権界及び筆界がいずれもａ－ｂである場合において、甲土地の所有者Ａと乙土地の所有者Ｂがともに所有権界及び筆界をｃ－ｄと認識したまま、その後Ａがａｂｄｃａで囲まれた土地を時効取得したときは、甲土地と乙土地との所有権界及び筆界は、ｃ－ｄとなる。,×,時効取得によってAの「所有権界」はｃ－ｄに移動するが、「筆界」は公法上の境界であるため時効によって移動することはない（ａ－ｂのまま）。
平成23年度第9問,民法,ウ,甲土地と乙土地との所有権界及び筆界がいずれもａ－ｂである場合において、所有権界及び筆界がｃ－ｄであると信じてａｂｄｃａで囲まれた土地を占有している甲土地の所有者Ａから、所有権界及び筆界はｃ－ｄであるとの説明を受け、第三者がそれを信じて購入したときは、甲土地と乙土地との所有権界及び筆界は、ｃ－ｄとなる。,×,第三者が誤信して購入したとしても、公信の原則がないため「所有権界」は移動せず、当然「筆界」も移動しない。
平成23年度第9問,民法,エ,乙土地の所有者が国である場合において、甲土地と乙土地との筆界がａ－ｂであるときに、甲土地の所有者Ａと国との間で、境界をｃ－ｄと定める国有財産法上の官民境界確定協議の契約が調った場合には、所有権界と筆界は異なることになる。,○,官民境界確定協議は、私法上の所有権界を確認・確定する効力は有するが、公法上の筆界を変更する効力はないため、両者が異なる結果となる。
平成23年度第9問,民法,オ,筆界確定訴訟において、甲土地と乙土地との筆界をａ－ｂとする確定判決があった場合であっても、甲土地の所有者Ａと乙土地の所有者Ｂは、甲土地と乙土地との所有権界をｃ－ｄとする合意をすることができる。,○,筆界確定訴訟は公法上の筆界を確定するものであり、当事者が私法上の「所有権界」について異なる合意（譲渡等）を妨げるものではない。
平成23年度第10問,不動産登記法,ア,甲建物を区分して、その一部を乙建物の附属建物とする建物の区分の登記と建物の合併の登記は、一の申請情報で申請することはできない。,×,区分登記と合併登記は、相互に関連する実体上の変動を反映するものであり、一の申請情報で一括して申請することができる（不動産登記規則115条）。
平成23年度第10問,不動産登記法,イ,甲土地についてする地積の更正の登記と更正後の分筆の登記は、一の申請情報で申請することができる。,○,分筆の前提としての地積更正登記と分筆登記は、密接に関連するため一の申請情報により申請できる（不動産登記規則115条）。
平成23年度第10問,不動産登記法,ウ,甲土地についてする表題部所有者の住所の変更の登記と合筆の登記は、一の申請情報で申請することはできない。,×,合筆の前提としての名義人の住所変更登記と合筆登記は、一の申請情報により申請することができる。
平成23年度第10問,不動産登記法,エ,甲土地についてする地目の変更の登記と地積の更正の登記は、一の申請情報で申請することができる。,○,同一の不動産に対する表題部の変更登記と更正登記は、一の申請情報により申請することができる（不動産登記規則115条）。
平成23年度第10問,不動産登記法,オ,同一の登記所の管轄区域内にある甲建物の滅失の登記と乙建物の表題登記は、登記名義人が同一であれば、一の申請情報で申請することができる。,×,滅失登記と表題登記は、それぞれ別個の不動産（滅失した建物と新築した建物）に関する登記であり、一括申請の対象とはならない。
平成23年度第11問,不動産登記法,ア,所有権の登記名義人がＡである甲土地の一部を買い受けたＢが、当該部分にＣを抵当権者とする抵当権を設定した場合であっても、Ｃは、Ａ及びＢに代位して甲土地から抵当権が設定された部分を分筆する登記を申請することはできない。,×,抵当権者Cは、抵当権の登記請求権を保全するため、設定者Bに代位し、さらに所有権者Aに転代位して分筆登記を申請することができる。
平成23年度第11問,不動産登記法,イ,Ａが所有する甲土地及び乙土地を合筆の上Ｂが購入する契約を締結した場合には、Ｂは、Ａに代位して合筆の登記を申請することができる。,×,合筆の登記は権利の保全のために代位申請することが認められないため、BがAに代位して合筆登記を申請することはできない。
平成23年度第11問,不動産登記法,ウ,土地区画整理事業を施行する者は、土地区画整理事業の施行のために必要がある場合には、所有者に代位して土地の分筆又は合筆の登記を申請することができる。,○,土地区画整理事業等の施行者は、事業の施行のために必要があるときは、特例により所有者に代位して分筆や合筆の登記を申請できる。
平成23年度第11問,不動産登記法,エ,１筆の土地につき相続によるＡ、Ｂ及びＣ共有名義の登記がされた後に、当該土地を３筆に分筆し、うち２筆をＡが取得し、Ｂ及びＣが残り１筆を共有取得する旨の遺産分割調停が成立した場合には、Ａは、単独で、Ｂ及びＣに代位して分筆の登記を申請することができる。,×,分筆の登記は、共有者の1人から保存行為として単独で申請できるため、代位によらなくてもAが自ら分筆登記を申請できる。
平成23年度第11問,不動産登記法,オ,甲土地の一部に地役権の設定を受けた地役権者Ａは、甲土地の所有者Ｂに代位して分筆の登記を申請することができる。,×,地役権は土地の一部にも設定できるため、分筆の登記を代位申請する保全の必要性がなく、代位申請することは認められない。
平成23年度第12問,不動産登記法,ア,表題部に記録された登記原因及びその日付に錯誤があることが判明した場合であっても、表題部所有者は、表題部の更正の登記を申請することはできない。,○,表題部の「登記原因及びその日付」のみの更正登記は認められていないため、申請することはできない。
平成23年度第12問,不動産登記法,イ,表題部に共有者Ａ持分２分の１共有者Ｂ持分２分の１と記録されている場合において、共有者Ａ持分３分の２共有者Ｂ持分３分の１とする表題部所有者の更正の登記をＡが申請するときは、Ｂの承諾書とともに、Ａの共有持分権を証する情報を提供しなければならない。,○,自己の持分を増加させる更正登記を申請する場合、不利益を受ける他の共有者（B）の承諾を証する情報と、真実の持分を証する情報の提供が必要である。
平成23年度第12問,不動産登記法,ウ,表題部にＡが所有者として記録されている場合において、当該建物の実体上の所有者がＢであるときは、Ｂは、Ａに対抗することができる裁判があったことを証する情報を提供して、表題部所有者の更正の登記を申請することができる。,×,表題部所有者の更正登記は表題部名義人以外の者から申請することはできず、真の所有者Bは判決による所有権保存登記等を行うべきである。
平成23年度第12問,不動産登記法,エ,表題部に記録されている所有者の氏名に誤りがあった場合において、表題部所有者の更正の登記を申請するときは、錯誤があったことを証する市区町村長、登記官その他の公務員が作成した情報を提供しなければならないが、当該情報がない場合には、これに代わるべき情報を添付情報とすることができる。,○,氏名更正の場合、公務員作成の情報（住民票等）が必要だが、提供できない場合はこれに代わるべき情報（不在籍証明等）を添付できる。
平成23年度第12問,不動産登記法,オ,表題部にＡが所有者として記録されている場合において、共有者Ａ持分２分の１、共有者Ｂ持分２分の１とする表題部所有者の更正の登記をＢが申請するときは、Ｂの住所を証する情報を提供しなければならない。,×,表題部所有者をA単独からA・Bの共有とする更正登記は、現在の表題部所有者であるAから申請しなければならず、Bから申請することはできない。
平成23年度第13問,不動産登記法,ア,表題登記がある建物を全て取り壊し、その材料を用いて建物を再度建築したときは、表題登記がある既存建物について、建物の滅失の登記を申請しなければならない。,○,同一材料で再建築しても同一の建物とは認められないため、既存建物について滅失登記を、新築建物について表題登記をそれぞれ申請する。
平成23年度第13問,不動産登記法,イ,所有権の登記以外の権利に関する登記がある建物が滅失したときは、当該権利の登記名義人の承諾書を添付して、建物の滅失の登記を申請しなければならない。,×,建物が滅失すれば当該建物を目的とする権利も絶対的に消滅するため、抵当権者等の登記名義人の承諾は不要である。
平成23年度第13問,不動産登記法,ウ,所有者が異なる区分建物が属する一棟の建物が滅失した場合において、区分建物の滅失の登記を申請するときは、区分建物の所有者の一人が一棟の建物の滅失の登記を申請することができる。,○,一棟の建物に属する区分建物が滅失した場合、区分所有者の一人から一棟の建物全体についての滅失の登記を代位申請することができる。
平成23年度第13問,不動産登記法,エ,区分した建物として登記がされているが、初めから区分した状態になかったことが明らかな建物については、錯誤を登記原因として建物の滅失の登記を申請しなければならない。,×,初めから区分建物でなかったことが判明した場合、建物の滅失登記ではなく、非区分建物とするための建物の表題部変更（区分の更正）登記等を行う。
平成23年度第13問,不動産登記法,オ,鉄筋コンクリート造の建物について、火災により建物の内部の一部が焼失したが、主要構造部分が残存し、使用目的に従った使用が可能であるときは、建物の滅失の登記を申請することはできない。,○,主要構造部分が残存し修復により使用可能な状態であれば、建物としての要件を失っていないため、滅失登記は申請できない。
平成23年度第14問,不動産登記法,ア,埋立地に建築された建物の敷地が編入されるべき行政区画が定められていない場合には、当該建物の表題登記を申請することはできない。,×,行政区画が定まっていない埋立地であっても、法務大臣等が指定した管轄登記所に表題登記を申請することができる。
平成23年度第14問,不動産登記法,イ,甲登記所において登記されている建物に附属建物を新築し、乙登記所の管轄区域にまたがることとなったときは、主である建物と附属建物の床面積の大きさにかかわらず、甲登記所に所在の変更の登記を申請しなければならない。,○,主建物と附属建物が異なる管轄にまたがる場合、管轄は主建物の所在地を管轄する登記所（甲登記所）となるため、甲登記所に申請する。
平成23年度第14問,不動産登記法,ウ,建物が複数の登記所の管轄区域にまたがって建築されたときは、法務大臣又は法務局若しくは地方法務局の長が当該建物の登記事務を行う登記所を指定するまでは、建物の表題登記を申請することはできない。,○,管轄がまたがる場合、管轄登記所の指定を受けるまでは、いずれの登記所にも登記申請を行うことはできない。
平成23年度第14問,不動産登記法,エ,甲登記所の管轄区域に主である建物と附属建物がある場合において、主である建物のみを乙登記所の管轄区域にえい行移転したときは、附属建物が主である建物よりも床面積が大きい場合であっても、管轄登記所は、乙登記所となる。,×,主建物と附属建物が別管轄になった場合、当然に主建物の管轄に変わるわけではなく、法務局長等による管轄指定の手続きを経る必要がある。
平成23年度第14問,不動産登記法,オ,表題登記がある建物をえい行移転により甲登記所の管轄区域から乙登記所の管轄区域に移動した場合には、甲登記所に所在の変更の登記を申請しなければならない。,○,管轄転属を伴うえい行移転による所在変更登記は、従前の所在地を管轄する登記所（甲登記所）に対して申請しなければならない。
平成23年度第15問,不動産登記法,ア,甲建物から乙建物を分割する登記を申請する場合において、分割後の建物の床面積に変更がないときは、各階平面図の添付を要しない。,×,分割により別個の建物となる場合、それぞれの建物の形状や位置関係が明確になるよう、面積変更の有無に関わらず各階平面図の添付が必要である。
平成23年度第15問,不動産登記法,イ,甲土地上にのみ存する区分建物について、新たに規約を定め、乙土地を当該区分建物の規約敷地とする登記を申請する場合には、建物図面の添付を要しない。,○,規約敷地（建物が存しない土地）を追加する場合、建物図面に当該敷地の形状や建物の位置を記載することはできないため、建物図面の添付は不要である。
平成23年度第15問,不動産登記法,ウ,区分建物の増築の登記を申請する場合において、一棟の建物についても登記内容に変更があるときは、当該箇所を表示した一棟の建物に関する建物図面及び各階平面図を添付しなければならない。,○,区分建物の増築等により一棟の建物自体に変更が生じた場合は、一棟の建物に関する建物図面及び各階平面図も提供しなければならない。
平成23年度第15問,不動産登記法,エ,仮換地上に建築された建物に関する表題登記に添付する建物図面においては、仮換地の形状を実線で図示し、所在欄には括弧書きで換地後の予定地番を記載しなければならない。,×,仮換地上に建築された場合、建物図面には仮換地ではなく「従前の土地（底地）」の形状を実線で描き、所在も従前の地番を記載する。
平成23年度第15問,不動産登記法,オ,建物を甲土地から乙土地にえい行移転したことによる建物の所在の変更の登記をした場合における従前の建物図面の保存期間は、30 年である。,×,※法改正により現在は×。閉鎖された建物図面の保存期間は現在「永久」である。出題当時の規定では30年であった。
平成23年度第16問,不動産登記法,ア,区分建物の一部を増築した後に、当該建物について共用部分である旨の登記がされた場合には、増築した当時の増築に係る区分建物の所有権の登記名義人は、共用部分である旨の登記がされた日から１か月以内に、増築の登記を申請しなければならない。,×,共用部分である旨の登記がなされると表題部のみの登記となり、所有者に変更登記の申請義務は生じない。
平成23年度第16問,不動産登記法,イ,区分建物の表題登記の申請をした際に申請情報として提供した所有権敷地権の割合について変更が生じた場合には、所有権の登記名義人は、変更の日から１か月以内に、表題部に関する変更の登記を申請しなければならない。,○,敷地権の割合の変更は、建物の表題部の変更登記として、変更の日から1ヶ月以内に申請する義務を負う。
平成23年度第16問,不動産登記法,ウ,分筆により建物の所在する土地の地番が変更した場合には、当該建物の所有権の登記名義人は、変更の日から１か月以内に、建物の所在に関する変更の登記を申請しなければならない。,○,分筆による地番変更に伴う建物の所在変更は、職権によるみなし変更とはならず、所有者に1ヶ月以内の申請義務がある。
平成23年度第16問,不動産登記法,エ,地目が山林として登記されている土地上に住宅が建築された後に当該土地の所有権を新たに取得した者は、その取得の日から１か月以内に、当該土地の地目の変更の登記を申請しなければならない。,○,所有権取得前に地目変更が生じていた場合、新所有者は所有権を取得した日から1ヶ月以内に地目変更登記を申請しなければならない。
平成23年度第16問,不動産登記法,オ,１棟の建物が、その一部の取壊しにより、物理的に２棟以上の建物となった場合には、その所有権の登記名義人は、工事の完了の日から１か月以内に、建物の分割の登記を申請しなければならない。,×,物理的に複数棟になっても、主従関係があれば主建物と附属建物として1個の建物として登記できるため、当然に分割登記の申請義務が生じるわけではない。
平成23年度第17問,不動産登記法,ア,附属建物として登記されている建物を、登記記録上、別の１個の建物とする登記を申請する場合において、当該建物が共有であるときは、共有者全員で申請しなければならない。,○,建物の分割登記により独立の建物とする場合、権利関係に重大な影響を及ぼすため、共有者全員から申請しなければならない。
平成23年度第17問,不動産登記法,イ,表題登記があり、既に各階平面図が登記所に提出されている建物について、附属建物を新築した場合には、その附属建物の新築に伴う表題部の変更の登記の申請に添付する各階平面図は、新築された附属建物のみのものでよい。,○,既存建物の各階平面図が既に提出されている場合、追加された附属建物の各階平面図のみを添付すれば足りる。
平成23年度第17問,不動産登記法,ウ,主である建物が取り壊され、その後に附属建物が取り壊された場合において、建物の滅失の登記を申請するときは、附属建物が取り壊された日付を申請情報とすることを要しない。,×,建物の滅失登記においては、建物が完全に滅失した日（最後に附属建物が取り壊された日）を登記原因の日付として記載しなければならない。
平成23年度第17問,不動産登記法,エ,車庫として利用されていた附属建物を、その基礎部分を残して、取り壊し、その基礎上に構造及び床面積が同一であって、物置として利用される附属建物を新築した場合に行う登記申請においては、建物図面の添付を要しない。,○,同一の基礎上に同一形状で再築され、配置に変更がない場合、新たな建物図面の添付を省略することができる。
平成23年度第17問,不動産登記法,オ,表題登記があり、既に建物図面が登記所に提出されている建物について、当該建物の数個の附属建物のうち、その一つを残して他の全ての附属建物を取り壊した場合であっても、附属建物の滅失による表題部の変更の登記を申請するときは、建物図面の添付を省略することはできない。,×,残存する建物の配置関係に変更が生じないため、新たに建物図面を作成して添付することは要せず、省略することができる。
平成23年度第18問,不動産登記法,ア,表題登記がある建物の主である建物とその附属建物が合体した場合には、合体後の建物についての建物の表題登記及び合体前の建物についての表題部の登記の抹消を申請しなければならない。,×,同一の登記記録にある主建物と附属建物が合体した場合、これは「合体」ではなく「建物の表題部変更登記（増築等）」によって処理される。
平成23年度第18問,不動産登記法,イ,表題登記がない建物と表題登記がある建物のみが合体して１個の建物となった後に、当該合体前の表題登記がない建物の所有者から当該合体後の建物について合体前の表題登記がない建物の所有権に相当する持分を取得した者は、当該持分取得の日から１か月以内に、合体後の建物についての建物の表題登記及び合体前の建物についての建物の表題部の登記の抹消を申請しなければならない。,○,合体後に未登記建物の持分を承継取得した者は、持分取得の日から1ヶ月以内に合体の登記を申請する義務を負う。
平成23年度第18問,不動産登記法,ウ,所有権の登記がある建物と表題登記がない建物が合体して１個の建物となった後に、合体による建物の表題登記及び合体前の建物についての建物の表題部の登記の抹消並びに当該表題登記がない建物の所有者を当該合体後の建物の登記名義人とする所有権の登記の申請を合体前の所有権の登記がある建物の所有権の登記名義人が申請する場合には、合体後の建物全体の当該申請人の所有権を証する情報を提供しなければならない。,×,この場合、合体前の未登記建物部分についての所有権証明情報を提供すれば足り、建物全体の所有権証明情報を提供する必要はない。
平成23年度第18問,不動産登記法,エ,表題登記のみがある建物が合体して１個の建物となった後に、合体前の建物の表題部所有者に誤りがあり、更正の登記によって表題部所有者となった者は、その者に係る表題部所有者についての更正の登記があった日から１か月以内に、合体後の建物についての建物の表題登記及び合体前の建物についての建物の表題部の登記の抹消を申請しなければならない。,○,更正登記によって真正な表題部所有者となった者は、その更正登記の日から1ヶ月以内に合体の登記を申請しなければならない。
平成23年度第18問,不動産登記法,オ,合体前の建物がいずれも表題登記がない建物であるときは、合体後の建物については、合体による表題登記の申請ではなく、新築による建物の表題登記を申請しなければならない。,○,ともに未登記の建物が合体した場合、合体の登記の規定は適用されず、全体を1個の建物として通常の表題登記を申請する。
平成23年度第19問,不動産登記法,ア,表題登記がある区分建物でない建物（非区分建物）に接続して区分建物が新築されて一棟の建物となったことにより、当該表題登記がある非区分建物が区分建物となった場合における当該新築に係る区分建物についての表題登記の申請は、当該接続前の表題登記がある非区分建物についての表題部の登記の抹消の申請と併せてしなければならない。,×,非区分建物が区分建物になった場合は、表題部の抹消ではなく「表題部の変更登記（区分建物への変更）」を併せて申請する。
平成23年度第19問,不動産登記法,イ,表題登記がない建物に接続して区分建物が新築されて一棟の建物となった場合には、当該区分建物の所有者が、他の区分建物の所有者に代わって、当該他の区分建物についての表題登記を申請することができる。,○,一棟の建物に属する区分建物の表題登記は一括申請が原則であるため、一部の所有者が他の区分所有者に代位して表題登記を申請できる。
平成23年度第19問,不動産登記法,ウ,一棟の建物に属する区分建物全部の原始取得者が、その表題登記をしない間に、そのうちの一部の区分建物を他に売却した場合には、その売却した区分建物の表題登記の申請は、原始取得者が、その転得者に代位してする方法により、しなければならない。,×,原始取得者は、自らを表題部所有者とする表題登記を申請し、その後転得者へ所有権移転登記等を行うのが原則であり、代位申請をするわけではない。
平成23年度第19問,不動産登記法,エ,一棟の建物に属する建物の全部が同一の原始取得者の所有に属する場合には、その原始取得者は、その一棟の建物に属する建物の全部を１個の非区分建物としてその表題登記を申請することができる。,○,区分建物の要件を満たしていても、所有者の意思により、一棟の建物全体を1個の非区分建物として表題登記を申請することが認められる。
平成23年度第19問,不動産登記法,オ,新築された表題登記がない区分建物の原始取得者が死亡した場合には、その相続人は、自己を当該区分建物の表題部所有者とする表題登記を申請することができる。,○,未登記建物の原始取得者が死亡した場合、その相続人は直接自己（相続人）を表題部所有者として表題登記を申請できる。
平成23年度第20問,土地家屋調査士法,ア,土地家屋調査士ＣがＡから筆界特定①の手続について代理する事務を受任している場合において、Ｃは、Ａの同意があればＢから筆界特定②の手続について代理する事務を受任することができる。,○,調査士が受任している事件の相手方から別の事件を受任することは利益相反の制限を受けるが、依頼者（A）の同意があれば受任できる。
平成23年度第20問,土地家屋調査士法,イ,土地家屋調査士法人ＤがＡから筆界特定①の手続について代理する事務を受任している場合において、Ｄの社員である土地家屋調査士Ｅは、自らこれに関与していないときは、Ａの同意があれば、Ｂから筆界特定②の手続について代理する事務を受任することができる。,×,調査士法人が受任している事件について、その法人の社員が個人として相手方から別の事件を受任することは、依頼者の同意の有無や関与の有無に関わらず禁止される。
平成23年度第20問,土地家屋調査士法,ウ,土地家屋調査士法人ＤがＡから筆界特定①の手続について代理する事務を受任している場合において、Ｄの社員である土地家屋調査士Ｅは、自らこれに関与したときであっても、Ａの同意があればＤを脱退した後に、Ｂから筆界特定①の手続について法務局又は地方法務局に提出する書類を作成する事務を受任することができる。,×,法人の社員として関与した事件について、脱退後に相手方から受任することは、依頼者の同意があったとしても禁止される。
平成23年度第20問,土地家屋調査士法,エ,土地家屋調査士法人Ｄは、Ａから筆界特定①の手続について何度も協議を受け、Ａの信頼を得ていたが、実際には、Ａは、筆界特定①の申請手続を自ら行い、Ｄにその手続について代理する事務を委任しなかった。この場合において、Ｄは、Ａの同意があれば、Ｂから筆界特定①の手続について法務局又は地方法務局に提出する書類を作成する事務を受任することができる。,○,協議を受けて賛助（信頼）した事件について、相手方から受任することは原則禁止されるが、協議を受けた者（A）の同意があれば受任できる。
平成23年度第20問,土地家屋調査士法,オ,土地家屋調査士法人Ｄの使用人である土地家屋調査士ＥがＡから筆界特定①の手続について法務局又は地方法務局に提出する書類を作成する事務を受任している場合には、Ｄは、Ａの同意があっても、Ｂから筆界特定①の手続について法務局又は地方法務局に提出する書類を作成する事務を受任することはできない。,○,使用人である調査士が受任している事件について、所属する調査士法人が相手方から受任することは、同意の有無にかかわらず禁止される。
平成22年度第1問,民法,ア,Aは、BからB所有の甲不動産を売却する代理権を与えられていないにもかかわらず、その事情について善意無過失のCとの間で、Bの代理人として甲不動産を売却する旨の売買契約を締結し代金を受け取った。CがAに対し無権代理行為による損害賠償を請求したところ、Aが死亡してその地位をBが単独で相続した場合には、Bは、無権代理行為の追認を拒絶することにより、無権代理行為による損害賠償責任を免れることができる。,×,本人が無権代理人を単独相続した場合、本人の資格において追認を拒絶することはできるが、無権代理人の損害賠償責任も承継するため、損害賠償責任を免れることはできない。
平成22年度第1問,民法,イ,Aは、BからB所有の甲不動産を売却する代理権を与えられていないにもかかわらず、善意無過失のCとの間で売買契約を締結した。CがBに対し甲不動産の引渡しを求めたところ、BがAの無権代理行為の追認を拒絶した後Bが死亡してその地位をAが単独で相続した場合には、Aは、Cから当該売買契約に基づく甲不動産の引渡請求をされても、Bの上記追認拒絶の効果を主張してCの請求を拒むことができない。,×,本人が追認を拒絶した後に無権代理人が本人を相続した場合、追認拒絶により無効が確定しているため、無権代理人は本人の地位に基づいて追認拒絶の効果を主張し、Cの請求を拒むことができる。
平成22年度第1問,民法,ウ,Aは、Bの無権代理人として甲不動産をCに売却した。CがBに対し甲不動産の引渡しを求めたところ、Bが死亡してその地位をAが他の相続人とともに共同で相続した場合には、Aは、Cから当該売買契約に基づく甲不動産の引渡請求をされたときは、他の相続人とともに無権代理行為の追認を拒絶してCの請求を拒むことができる。,○,無権代理人が本人を他の相続人と共同相続した場合、他の相続人の追認がない限り無権代理行為は有効とならず、Aは他の相続人とともに追認を拒絶して請求を拒むことができる。
平成22年度第1問,民法,エ,Aは、Bの無権代理人として甲不動産をCに売却した。CがBに対し甲不動産の引渡しを求めたところ、Bが死亡してその地位をAが単独で相続した場合には、Aは、Cから引渡請求をされたときは、無権代理行為の追認を拒絶してCの請求を拒むことができない。,○,無権代理人が本人を単独相続した場合、本人の地位と無権代理人の地位が融合し、信義則上追認を拒絶することはできず、契約は当然に有効となるため請求を拒むことはできない。
平成22年度第1問,民法,オ,Aは、Bの無権代理人として甲不動産をCに売却した。Aが死亡してその地位をB及びAB間の子Dが共同で相続した後、Bが死亡してその地位をDが単独で相続した場合には、Dは、Cから引渡請求をされたときは、無権代理行為の追認を拒絶してCの請求を拒むことができない。,○,無権代理人を本人とともに共同相続した者が、その後に本人を単独相続した場合、本人の地位と無権代理人の地位を併有することになり、信義則上追認拒絶できず契約は有効となる（最判平10.7.17）。
平成22年度第2問,民法,ア,Cが所有する土地をAに売却したが、所有権の移転の登記をしないうちに、Bが権原がないのにその土地を占拠した場合、AはBに対して土地の所有権を主張することができない。,×,不法占拠者であるBは民法第177条の「第三者」に該当しないため、Aは登記がなくてもBに対して所有権を主張することができる。
平成22年度第2問,民法,イ,Cが所有する土地をAに売却したが、所有権の移転の登記をしないうちにCの一般債権者Bがその土地について仮差押えをした場合、AはBに対して土地の所有権を主張することができない。,○,仮差押債権者であるBは民法第177条の「第三者」に該当するため、Aは登記を備えなければBに対して所有権を主張することができない。
平成22年度第2問,民法,ウ,Bが所有する土地をCに売却したが所有権の移転の登記をしないうちに、CがAにその土地を売却した場合、AはBに対して土地の所有権を主張することができない。,×,AとBは前主と後主の関係（当事者間の承継）であり、対抗関係には立たないため、Aは登記がなくてもBに対して所有権を主張することができる。
平成22年度第2問,民法,エ,Bが所有する土地をCに売却して所有権の移転の登記をし、CがAにその土地を売却したがその所有権の移転の登記をする前に、BがCの代金未払を理由にBC間の売買契約を解除した場合、AはBに対して土地の所有権を主張することができない。,○,契約解除前の第三者であるAが解除権者Bに対して権利を主張するためには登記が必要であるため、登記をしていないAはBに対して所有権を主張することができない。
平成22年度第2問,民法,オ,未成年者Aは、法定代理人Cの同意を得ないでA所有の土地をDに売却し、Dは、Aが未成年者であることを知らないBに対しその土地を売却した。その後、CがAのDに対する売買の意思表示を取り消した場合、AはBに対して土地の所有権を主張することができない。,×,制限行為能力を理由とする取消しは絶対的な効力を有し、善意の第三者に対しても主張できるため、AはBに対して所有権を主張できる（法改正による変更なし）。
